Model,Test R2,RMSE,MAE,CV R2
Gradient Boosting,0.9237926921830555,4.529742388577937,3.6690530817237517,0.9048917203442575
Linear Regression,0.9198744432138842,4.644732684408958,3.593015415782239,0.8945313347365872
Ridge Regression,0.9198667538600342,4.6449555479856,3.5943430510585164,0.8945349514894358
LightGBM,0.9164958702500334,4.741646478716694,3.704569265817834,0.9063202595563447
SVR,0.8909413677500033,5.418826144509383,4.241623708690192,0.8428809583807905
Lasso Regression,0.8809081319088232,5.662604738093643,4.625674806000591,0.8590918578949189
XGBoost,0.8748664463148655,5.80446348299494,4.566468573693359,0.860168172507987
Random Forest,0.8631622231778017,6.069853356976064,4.890342310916247,0.8482780172808312
Decision Tree,0.6985029556738364,9.009832633928285,7.225306112090165,0.6050690574332931
